dt,is_weekend,is_public_holiday,holiday_name,is_salary_disbursement,is_ramadan,days_to_salary,days_from_salary,week_of_year,month,quarter,year
2020-02-04,false,false,,false,false,21,10,6,2,1,2020
2020-02-05,false,false,,false,false,20,11,6,2,1,2020
2020-02-06,false,false,,false,false,19,12,6,2,1,2020
2020-02-07,true,false,,false,false,18,13,6,2,1,2020
2020-02-08,true,false,,false,false,17,14,6,2,1,2020
2020-02-09,false,false,,false,false,16,15,6,2,1,2020
2020-02-10,false,false,,false,false,15,16,7,2,1,2020
2020-02-11,false,false,,false,false,14,17,7,2,1,2020
2020-02-12,false,false,,false,false,13,18,7,2,1,2020
2020-02-13,false,false,,false,false,12,19,7,2,1,2020
2020-02-14,true,false,,false,false,11,20,7,2,1,2020
2020-02-15,true,false,,false,false,10,21,7,2,1,2020
2020-02-16,false,false,,false,false,9,22,7,2,1,2020
2020-02-17,false,false,,false,false,8,23,8,2,1,2020
2020-02-18,false,false,,false,false,7,24,8,2,1,2020
2020-02-19,false,false,,false,false,6,25,8,2,1,2020
2020-02-20,false,false,,true,false,5,26,8,2,1,2020
2020-02-21,true,false,,true,false,4,27,8,2,1,2020
2020-02-22,true,false,,true,false,3,28,8,2,1,2020
2020-02-23,false,false,,true,false,2,29,8,2,1,2020
2020-02-24,false,false,,true,false,1,30,9,2,1,2020
2020-02-25,false,true,National Day,true,false,0,0,9,2,1,2020
2020-02-26,false,true,Liberation Day,true,false,28,1,9,2,1,2020
2020-02-27,false,false,,true,false,27,2,9,2,1,2020
2020-02-28,true,false,,false,false,26,3,9,2,1,2020
2020-02-29,true,false,,false,false,25,4,9,2,1,2020
2020-03-01,false,false,,false,false,24,5,9,3,1,2020
2020-03-02,false,false,,false,false,23,6,10,3,1,2020
2020-03-03,false,false,,false,false,22,7,10,3,1,2020
2020-03-04,false,false,,false,false,21,8,10,3,1,2020
2020-03-05,false,false,,false,false,20,9,10,3,1,2020
2020-03-06,true,false,,false,false,19,10,10,3,1,2020
2020-03-07,true,false,,false,false,18,11,10,3,1,2020
2020-03-08,false,false,,false,false,17,12,10,3,1,2020
2020-03-09,false,false,,false,false,16,13,11,3,1,2020
2020-03-10,false,false,,false,false,15,14,11,3,1,2020
2020-03-11,false,false,,false,false,14,15,11,3,1,2020
2020-03-12,false,false,,false,false,13,16,11,3,1,2020
2020-03-13,true,false,,false,false,12,17,11,3,1,2020
2020-03-14,true,false,,false,false,11,18,11,3,1,2020
2020-03-15,false,false,,false,false,10,19,11,3,1,2020
2020-03-16,false,false,,false,false,9,20,12,3,1,2020
2020-03-17,false,false,,false,false,8,21,12,3,1,2020
2020-03-18,false,false,,false,false,7,22,12,3,1,2020
2020-03-19,false,false,,false,false,6,23,12,3,1,2020
2020-03-20,true,false,,true,false,5,24,12,3,1,2020
2020-03-21,true,false,,true,false,4,25,12,3,1,2020
2020-03-22,false,false,,true,false,3,26,12,3,1,2020
2020-03-23,false,false,,true,false,2,27,13,3,1,2020
2020-03-24,false,false,,true,false,1,28,13,3,1,2020
2020-03-25,false,false,,true,false,0,0,13,3,1,2020
2020-03-26,false,false,,true,false,30,1,13,3,1,2020
2020-03-27,true,false,,true,false,29,2,13,3,1,2020
2020-03-28,true,false,,false,false,28,3,13,3,1,2020
2020-03-29,false,false,,false,false,27,4,13,3,1,2020
2020-03-30,false,false,,false,false,26,5,14,3,1,2020
2020-03-31,false,false,,false,false,25,6,14,3,1,2020
2020-04-01,false,false,,false,false,24,7,14,4,2,2020
2020-04-02,false,false,,false,false,23,8,14,4,2,2020
2020-04-03,true,false,,false,false,22,9,14,4,2,2020
2020-04-04,true,false,,false,false,21,10,14,4,2,2020
2020-04-05,false,false,,false,false,20,11,14,4,2,2020
2020-04-06,false,false,,false,false,19,12,15,4,2,2020
2020-04-07,false,false,,false,false,18,13,15,4,2,2020
2020-04-08,false,false,,false,false,17,14,15,4,2,2020
2020-04-09,false,false,,false,false,16,15,15,4,2,2020
2020-04-10,true,false,,false,false,15,16,15,4,2,2020
2020-04-11,true,false,,false,false,14,17,15,4,2,2020
2020-04-12,false,false,,false,false,13,18,15,4,2,2020
2020-04-13,false,false,,false,false,12,19,16,4,2,2020
2020-04-14,false,false,,false,false,11,20,16,4,2,2020
2020-04-15,false,false,,false,false,10,21,16,4,2,2020
2020-04-16,false,false,,false,false,9,22,16,4,2,2020
2020-04-17,true,false,,false,false,8,23,16,4,2,2020
2020-04-18,true,false,,false,false,7,24,16,4,2,2020
2020-04-19,false,false,,false,false,6,25,16,4,2,2020
2020-04-20,false,false,,true,false,5,26,17,4,2,2020
2020-04-21,false,false,,true,false,4,27,17,4,2,2020
2020-04-22,false,false,,true,false,3,28,17,4,2,2020
2020-04-23,false,false,,true,false,2,29,17,4,2,2020
2020-04-24,true,false,,true,true,1,30,17,4,2,2020
2020-04-25,true,false,,true,true,0,0,17,4,2,2020
2020-04-26,false,false,,true,true,29,1,17,4,2,2020
2020-04-27,false,false,,true,true,28,2,18,4,2,2020
2020-04-28,false,false,,false,true,27,3,18,4,2,2020
2020-04-29,false,false,,false,true,26,4,18,4,2,2020
2020-04-30,false,false,,false,true,25,5,18,4,2,2020
2020-05-01,true,false,,false,true,24,6,18,5,2,2020
2020-05-02,true,false,,false,true,23,7,18,5,2,2020
2020-05-03,false,false,,false,true,22,8,18,5,2,2020
2020-05-04,false,false,,false,true,21,9,19,5,2,2020
2020-05-05,false,false,,false,true,20,10,19,5,2,2020
2020-05-06,false,false,,false,true,19,11,19,5,2,2020
2020-05-07,false,false,,false,true,18,12,19,5,2,2020
2020-05-08,true,false,,false,true,17,13,19,5,2,2020
2020-05-09,true,false,,false,true,16,14,19,5,2,2020
2020-05-10,false,false,,false,true,15,15,19,5,2,2020
2020-05-11,false,false,,false,true,14,16,20,5,2,2020
2020-05-12,false,false,,false,true,13,17,20,5,2,2020
2020-05-13,false,false,,false,true,12,18,20,5,2,2020
2020-05-14,false,false,,false,true,11,19,20,5,2,2020
2020-05-15,true,false,,false,true,10,20,20,5,2,2020
2020-05-16,true,false,,false,true,9,21,20,5,2,2020
2020-05-17,false,false,,false,true,8,22,20,5,2,2020
2020-05-18,false,false,,false,true,7,23,21,5,2,2020
2020-05-19,false,false,,false,true,6,24,21,5,2,2020
2020-05-20,false,false,,true,true,5,25,21,5,2,2020
2020-05-21,false,false,,true,true,4,26,21,5,2,2020
2020-05-22,true,false,,true,true,3,27,21,5,2,2020
2020-05-23,true,false,,true,true,2,28,21,5,2,2020
2020-05-24,false,true,Eid al-Fitr,true,false,1,29,21,5,2,2020
2020-05-25,false,true,Eid al-Fitr,true,false,0,0,22,5,2,2020
2020-05-26,false,true,Eid al-Fitr,true,false,30,1,22,5,2,2020
2020-05-27,false,false,,true,false,29,2,22,5,2,2020
2020-05-28,false,false,,false,false,28,3,22,5,2,2020
2020-05-29,true,false,,false,false,27,4,22,5,2,2020
2020-05-30,true,false,,false,false,26,5,22,5,2,2020
2020-05-31,false,false,,false,false,25,6,22,5,2,2020
2020-06-01,false,false,,false,false,24,7,23,6,2,2020
2020-06-02,false,false,,false,false,23,8,23,6,2,2020
2020-06-03,false,false,,false,false,22,9,23,6,2,2020
2020-06-04,false,false,,false,false,21,10,23,6,2,2020
2020-06-05,true,false,,false,false,20,11,23,6,2,2020
2020-06-06,true,false,,false,false,19,12,23,6,2,2020
2020-06-07,false,false,,false,false,18,13,23,6,2,2020
2020-06-08,false,false,,false,false,17,14,24,6,2,2020
2020-06-09,false,false,,false,false,16,15,24,6,2,2020
2020-06-10,false,false,,false,false,15,16,24,6,2,2020
2020-06-11,false,false,,false,false,14,17,24,6,2,2020
2020-06-12,true,false,,false,false,13,18,24,6,2,2020
2020-06-13,true,false,,false,false,12,19,24,6,2,2020
2020-06-14,false,false,,false,false,11,20,24,6,2,2020
2020-06-15,false,false,,false,false,10,21,25,6,2,2020
2020-06-16,false,false,,false,false,9,22,25,6,2,2020
2020-06-17,false,false,,false,false,8,23,25,6,2,2020
2020-06-18,false,false,,false,false,7,24,25,6,2,2020
2020-06-19,true,false,,false,false,6,25,25,6,2,2020
2020-06-20,true,false,,true,false,5,26,25,6,2,2020
2020-06-21,false,false,,true,false,4,27,25,6,2,2020
2020-06-22,false,false,,true,false,3,28,26,6,2,2020
2020-06-23,false,false,,true,false,2,29,26,6,2,2020
2020-06-24,false,false,,true,false,1,30,26,6,2,2020
2020-06-25,false,false,,true,false,0,0,26,6,2,2020
2020-06-26,true,false,,true,false,29,1,26,6,2,2020
2020-06-27,true,false,,true,false,28,2,26,6,2,2020
2020-06-28,false,false,,false,false,27,3,26,6,2,2020
2020-06-29,false,false,,false,false,26,4,27,6,2,2020
2020-06-30,false,false,,false,false,25,5,27,6,2,2020
2020-07-01,false,false,,false,false,24,6,27,7,3,2020
2020-07-02,false,false,,false,false,23,7,27,7,3,2020
2020-07-03,true,false,,false,false,22,8,27,7,3,2020
2020-07-04,true,false,,false,false,21,9,27,7,3,2020
2020-07-05,false,false,,false,false,20,10,27,7,3,2020
2020-07-06,false,false,,false,false,19,11,28,7,3,2020
2020-07-07,false,false,,false,false,18,12,28,7,3,2020
2020-07-08,false,false,,false,false,17,13,28,7,3,2020
2020-07-09,false,false,,false,false,16,14,28,7,3,2020
2020-07-10,true,false,,false,false,15,15,28,7,3,2020
2020-07-11,true,false,,false,false,14,16,28,7,3,2020
2020-07-12,false,false,,false,false,13,17,28,7,3,2020
2020-07-13,false,false,,false,false,12,18,29,7,3,2020
2020-07-14,false,false,,false,false,11,19,29,7,3,2020
2020-07-15,false,false,,false,false,10,20,29,7,3,2020
2020-07-16,false,false,,false,false,9,21,29,7,3,2020
2020-07-17,true,false,,false,false,8,22,29,7,3,2020
2020-07-18,true,false,,false,false,7,23,29,7,3,2020
2020-07-19,false,false,,false,false,6,24,29,7,3,2020
2020-07-20,false,false,,true,false,5,25,30,7,3,2020
2020-07-21,false,false,,true,false,4,26,30,7,3,2020
2020-07-22,false,false,,true,false,3,27,30,7,3,2020
2020-07-23,false,false,,true,false,2,28,30,7,3,2020
2020-07-24,true,false,,true,false,1,29,30,7,3,2020
2020-07-25,true,false,,true,false,0,0,30,7,3,2020
2020-07-26,false,false,,true,false,30,1,30,7,3,2020
2020-07-27,false,false,,true,false,29,2,31,7,3,2020
2020-07-28,false,false,,false,false,28,3,31,7,3,2020
2020-07-29,false,false,,false,false,27,4,31,7,3,2020
2020-07-30,false,false,,false,false,26,5,31,7,3,2020
2020-07-31,true,false,,false,false,25,6,31,7,3,2020
2020-08-01,true,false,,false,false,24,7,31,8,3,2020
2020-08-02,false,true,Eid al-Adha,false,false,23,8,31,8,3,2020
2020-08-03,false,true,Eid al-Adha,false,false,22,9,32,8,3,2020
2020-08-04,false,true,Eid al-Adha,false,false,21,10,32,8,3,2020
2020-08-05,false,true,Eid al-Adha,false,false,20,11,32,8,3,2020
2020-08-06,false,false,,false,false,19,12,32,8,3,2020
2020-08-07,true,false,,false,false,18,13,32,8,3,2020
2020-08-08,true,false,,false,false,17,14,32,8,3,2020
2020-08-09,false,false,,false,false,16,15,32,8,3,2020
2020-08-10,false,false,,false,false,15,16,33,8,3,2020
2020-08-11,false,false,,false,false,14,17,33,8,3,2020
2020-08-12,false,false,,false,false,13,18,33,8,3,2020
2020-08-13,false,false,,false,false,12,19,33,8,3,2020
2020-08-14,true,false,,false,false,11,20,33,8,3,2020
2020-08-15,true,false,,false,false,10,21,33,8,3,2020
2020-08-16,false,false,,false,false,9,22,33,8,3,2020
2020-08-17,false,false,,false,false,8,23,34,8,3,2020
2020-08-18,false,false,,false,false,7,24,34,8,3,2020
2020-08-19,false,false,,false,false,6,25,34,8,3,2020
2020-08-20,false,false,,true,false,5,26,34,8,3,2020
2020-08-21,true,false,,true,false,4,27,34,8,3,2020
2020-08-22,true,false,,true,false,3,28,34,8,3,2020
2020-08-23,false,false,,true,false,2,29,34,8,3,2020
2020-08-24,false,false,,true,false,1,30,35,8,3,2020
2020-08-25,false,false,,true,false,0,0,35,8,3,2020
2020-08-26,false,false,,true,false,30,1,35,8,3,2020
2020-08-27,false,false,,true,false,29,2,35,8,3,2020
2020-08-28,true,false,,false,false,28,3,35,8,3,2020
2020-08-29,true,false,,false,false,27,4,35,8,3,2020
2020-08-30,false,false,,false,false,26,5,35,8,3,2020
2020-08-31,false,false,,false,false,25,6,36,8,3,2020
2020-09-01,false,false,,false,false,24,7,36,9,3,2020
2020-09-02,false,false,,false,false,23,8,36,9,3,2020
2020-09-03,false,false,,false,false,22,9,36,9,3,2020
2020-09-04,true,false,,false,false,21,10,36,9,3,2020
2020-09-05,true,false,,false,false,20,11,36,9,3,2020
2020-09-06,false,false,,false,false,19,12,36,9,3,2020
2020-09-07,false,false,,false,false,18,13,37,9,3,2020
2020-09-08,false,false,,false,false,17,14,37,9,3,2020
2020-09-09,false,false,,false,false,16,15,37,9,3,2020
2020-09-10,false,false,,false,false,15,16,37,9,3,2020
2020-09-11,true,false,,false,false,14,17,37,9,3,2020
2020-09-12,true,false,,false,false,13,18,37,9,3,2020
2020-09-13,false,false,,false,false,12,19,37,9,3,2020
2020-09-14,false,false,,false,false,11,20,38,9,3,2020
2020-09-15,false,false,,false,false,10,21,38,9,3,2020
2020-09-16,false,false,,false,false,9,22,38,9,3,2020
2020-09-17,false,false,,false,false,8,23,38,9,3,2020
2020-09-18,true,false,,false,false,7,24,38,9,3,2020
2020-09-19,true,false,,false,false,6,25,38,9,3,2020
2020-09-20,false,false,,true,false,5,26,38,9,3,2020
2020-09-21,false,false,,true,false,4,27,39,9,3,2020
2020-09-22,false,false,,true,false,3,28,39,9,3,2020
2020-09-23,false,false,,true,false,2,29,39,9,3,2020
2020-09-24,false,false,,true,false,1,30,39,9,3,2020
2020-09-25,true,false,,true,false,0,0,39,9,3,2020
2020-09-26,true,false,,true,false,29,1,39,9,3,2020
2020-09-27,false,false,,true,false,28,2,39,9,3,2020
2020-09-28,false,false,,false,false,27,3,40,9,3,2020
2020-09-29,false,false,,false,false,26,4,40,9,3,2020
2020-09-30,false,false,,false,false,25,5,40,9,3,2020
2020-10-01,false,false,,false,false,24,6,40,10,4,2020
2020-10-02,true,false,,false,false,23,7,40,10,4,2020
2020-10-03,true,false,,false,false,22,8,40,10,4,2020
2020-10-04,false,false,,false,false,21,9,40,10,4,2020
2020-10-05,false,false,,false,false,20,10,41,10,4,2020
2020-10-06,false,false,,false,false,19,11,41,10,4,2020
2020-10-07,false,false,,false,false,18,12,41,10,4,2020
2020-10-08,false,false,,false,false,17,13,41,10,4,2020
2020-10-09,true,false,,false,false,16,14,41,10,4,2020
2020-10-10,true,false,,false,false,15,15,41,10,4,2020
2020-10-11,false,false,,false,false,14,16,41,10,4,2020
2020-10-12,false,false,,false,false,13,17,42,10,4,2020
2020-10-13,false,false,,false,false,12,18,42,10,4,2020
2020-10-14,false,false,,false,false,11,19,42,10,4,2020
2020-10-15,false,false,,false,false,10,20,42,10,4,2020
2020-10-16,true,false,,false,false,9,21,42,10,4,2020
2020-10-17,true,false,,false,false,8,22,42,10,4,2020
2020-10-18,false,false,,false,false,7,23,42,10,4,2020
2020-10-19,false,false,,false,false,6,24,43,10,4,2020
2020-10-20,false,false,,true,false,5,25,43,10,4,2020
2020-10-21,false,false,,true,false,4,26,43,10,4,2020
2020-10-22,false,false,,true,false,3,27,43,10,4,2020
2020-10-23,true,false,,true,false,2,28,43,10,4,2020
2020-10-24,true,false,,true,false,1,29,43,10,4,2020
2020-10-25,false,false,,true,false,0,0,43,10,4,2020
2020-10-26,false,false,,true,false,30,1,44,10,4,2020
2020-10-27,false,false,,true,false,29,2,44,10,4,2020
2020-10-28,false,false,,false,false,28,3,44,10,4,2020
2020-10-29,false,false,,false,false,27,4,44,10,4,2020
2020-10-30,true,false,,false,false,26,5,44,10,4,2020
2020-10-31,true,false,,false,false,25,6,44,10,4,2020
2020-11-01,false,false,,false,false,24,7,44,11,4,2020
2020-11-02,false,false,,false,false,23,8,45,11,4,2020
2020-11-03,false,false,,false,false,22,9,45,11,4,2020
2020-11-04,false,false,,false,false,21,10,45,11,4,2020
2020-11-05,false,false,,false,false,20,11,45,11,4,2020
2020-11-06,true,false,,false,false,19,12,45,11,4,2020
2020-11-07,true,false,,false,false,18,13,45,11,4,2020
2020-11-08,false,false,,false,false,17,14,45,11,4,2020
2020-11-09,false,false,,false,false,16,15,46,11,4,2020
2020-11-10,false,false,,false,false,15,16,46,11,4,2020
2020-11-11,false,false,,false,false,14,17,46,11,4,2020
2020-11-12,false,false,,false,false,13,18,46,11,4,2020
2020-11-13,true,false,,false,false,12,19,46,11,4,2020
2020-11-14,true,false,,false,false,11,20,46,11,4,2020
2020-11-15,false,false,,false,false,10,21,46,11,4,2020
2020-11-16,false,false,,false,false,9,22,47,11,4,2020
2020-11-17,false,false,,false,false,8,23,47,11,4,2020
2020-11-18,false,false,,false,false,7,24,47,11,4,2020
2020-11-19,false,false,,false,false,6,25,47,11,4,2020
2020-11-20,true,false,,true,false,5,26,47,11,4,2020
2020-11-21,true,false,,true,false,4,27,47,11,4,2020
2020-11-22,false,false,,true,false,3,28,47,11,4,2020
2020-11-23,false,false,,true,false,2,29,48,11,4,2020
2020-11-24,false,false,,true,false,1,30,48,11,4,2020
2020-11-25,false,false,,true,false,0,0,48,11,4,2020
2020-11-26,false,false,,true,false,29,1,48,11,4,2020
2020-11-27,true,false,,true,false,28,2,48,11,4,2020
2020-11-28,true,false,,false,false,27,3,48,11,4,2020
2020-11-29,false,false,,false,false,26,4,48,11,4,2020
2020-11-30,false,false,,false,false,25,5,49,11,4,2020
2020-12-01,false,false,,false,false,24,6,49,12,4,2020
2020-12-02,false,false,,false,false,23,7,49,12,4,2020
2020-12-03,false,false,,false,false,22,8,49,12,4,2020
2020-12-04,true,false,,false,false,21,9,49,12,4,2020
2020-12-05,true,false,,false,false,20,10,49,12,4,2020
2020-12-06,false,false,,false,false,19,11,49,12,4,2020
2020-12-07,false,false,,false,false,18,12,50,12,4,2020
2020-12-08,false,false,,false,false,17,13,50,12,4,2020
2020-12-09,false,false,,false,false,16,14,50,12,4,2020
2020-12-10,false,false,,false,false,15,15,50,12,4,2020
2020-12-11,true,false,,false,false,14,16,50,12,4,2020
2020-12-12,true,false,,false,false,13,17,50,12,4,2020
2020-12-13,false,false,,false,false,12,18,50,12,4,2020
2020-12-14,false,false,,false,false,11,19,51,12,4,2020
2020-12-15,false,false,,false,false,10,20,51,12,4,2020
2020-12-16,false,false,,false,false,9,21,51,12,4,2020
2020-12-17,false,false,,false,false,8,22,51,12,4,2020
2020-12-18,true,false,,false,false,7,23,51,12,4,2020
2020-12-19,true,false,,false,false,6,24,51,12,4,2020
2020-12-20,false,false,,true,false,5,25,51,12,4,2020
2020-12-21,false,false,,true,false,4,26,52,12,4,2020
2020-12-22,false,false,,true,false,3,27,52,12,4,2020
2020-12-23,false,false,,true,false,2,28,52,12,4,2020
2020-12-24,false,false,,true,false,1,29,52,12,4,2020
2020-12-25,true,false,,true,false,0,0,52,12,4,2020
2020-12-26,true,false,,true,false,30,1,52,12,4,2020
2020-12-27,false,false,,true,false,29,2,52,12,4,2020
2020-12-28,false,false,,false,false,28,3,53,12,4,2020
2020-12-29,false,false,,false,false,27,4,53,12,4,2020
2020-12-30,false,false,,false,false,26,5,53,12,4,2020
2020-12-31,false,false,,false,false,25,6,53,12,4,2020
2021-01-01,true,true,New Year’s Day,false,false,24,7,53,1,1,2021
2021-01-02,true,false,,false,false,23,8,53,1,1,2021
2021-01-03,false,false,,false,false,22,9,53,1,1,2021
2021-01-04,false,false,,false,false,21,10,1,1,1,2021
2021-01-05,false,false,,false,false,20,11,1,1,1,2021
2021-01-06,false,false,,false,false,19,12,1,1,1,2021
2021-01-07,false,false,,false,false,18,13,1,1,1,2021
2021-01-08,true,false,,false,false,17,14,1,1,1,2021
2021-01-09,true,false,,false,false,16,15,1,1,1,2021
2021-01-10,false,false,,false,false,15,16,1,1,1,2021
2021-01-11,false,false,,false,false,14,17,2,1,1,2021
2021-01-12,false,false,,false,false,13,18,2,1,1,2021
2021-01-13,false,false,,false,false,12,19,2,1,1,2021
2021-01-14,false,false,,false,false,11,20,2,1,1,2021
2021-01-15,true,false,,false,false,10,21,2,1,1,2021
2021-01-16,true,false,,false,false,9,22,2,1,1,2021
2021-01-17,false,false,,false,false,8,23,2,1,1,2021
2021-01-18,false,false,,false,false,7,24,3,1,1,2021
2021-01-19,false,false,,false,false,6,25,3,1,1,2021
2021-01-20,false,false,,true,false,5,26,3,1,1,2021
2021-01-21,false,false,,true,false,4,27,3,1,1,2021
2021-01-22,true,false,,true,false,3,28,3,1,1,2021
2021-01-23,true,false,,true,false,2,29,3,1,1,2021
2021-01-24,false,false,,true,false,1,30,3,1,1,2021
2021-01-25,false,false,,true,false,0,0,4,1,1,2021
2021-01-26,false,false,,true,false,30,1,4,1,1,2021
2021-01-27,false,false,,true,false,29,2,4,1,1,2021
2021-01-28,false,false,,false,false,28,3,4,1,1,2021
2021-01-29,true,false,,false,false,27,4,4,1,1,2021
2021-01-30,true,false,,false,false,26,5,4,1,1,2021
2021-01-31,false,false,,false,false,25,6,4,1,1,2021
2021-02-01,false,false,,false,false,24,7,5,2,1,2021
2021-02-02,false,false,,false,false,23,8,5,2,1,2021
2021-02-03,false,false,,false,false,22,9,5,2,1,2021
2021-02-04,false,false,,false,false,21,10,5,2,1,2021
2021-02-05,true,false,,false,false,20,11,5,2,1,2021
2021-02-06,true,false,,false,false,19,12,5,2,1,2021
2021-02-07,false,false,,false,false,18,13,5,2,1,2021
2021-02-08,false,false,,false,false,17,14,6,2,1,2021
2021-02-09,false,false,,false,false,16,15,6,2,1,2021
2021-02-10,false,false,,false,false,15,16,6,2,1,2021
2021-02-11,false,false,,false,false,14,17,6,2,1,2021
2021-02-12,true,false,,false,false,13,18,6,2,1,2021
2021-02-13,true,false,,false,false,12,19,6,2,1,2021
2021-02-14,false,false,,false,false,11,20,6,2,1,2021
2021-02-15,false,false,,false,false,10,21,7,2,1,2021
2021-02-16,false,false,,false,false,9,22,7,2,1,2021
2021-02-17,false,false,,false,false,8,23,7,2,1,2021
2021-02-18,false,false,,false,false,7,24,7,2,1,2021
2021-02-19,true,false,,false,false,6,25,7,2,1,2021
2021-02-20,true,false,,true,false,5,26,7,2,1,2021
2021-02-21,false,false,,true,false,4,27,7,2,1,2021
2021-02-22,false,false,,true,false,3,28,8,2,1,2021
2021-02-23,false,false,,true,false,2,29,8,2,1,2021
2021-02-24,false,false,,true,false,1,30,8,2,1,2021
2021-02-25,false,true,National Day,true,false,0,0,8,2,1,2021
2021-02-26,true,true,Liberation Day,true,false,27,1,8,2,1,2021
2021-02-27,true,false,,true,false,26,2,8,2,1,2021
2021-02-28,false,false,,false,false,25,3,8,2,1,2021
2021-03-01,false,false,,false,false,24,4,9,3,1,2021
2021-03-02,false,false,,false,false,23,5,9,3,1,2021
2021-03-03,false,false,,false,false,22,6,9,3,1,2021
2021-03-04,false,false,,false,false,21,7,9,3,1,2021
2021-03-05,true,false,,false,false,20,8,9,3,1,2021
2021-03-06,true,false,,false,false,19,9,9,3,1,2021
2021-03-07,false,false,,false,false,18,10,9,3,1,2021
2021-03-08,false,false,,false,false,17,11,10,3,1,2021
2021-03-09,false,false,,false,false,16,12,10,3,1,2021
2021-03-10,false,false,,false,false,15,13,10,3,1,2021
2021-03-11,false,false,,false,false,14,14,10,3,1,2021
2021-03-12,true,false,,false,false,13,15,10,3,1,2021
2021-03-13,true,false,,false,false,12,16,10,3,1,2021
2021-03-14,false,false,,false,false,11,17,10,3,1,2021
2021-03-15,false,false,,false,false,10,18,11,3,1,2021
2021-03-16,false,false,,false,false,9,19,11,3,1,2021
2021-03-17,false,false,,false,false,8,20,11,3,1,2021
2021-03-18,false,false,,false,false,7,21,11,3,1,2021
2021-03-19,true,false,,false,false,6,22,11,3,1,2021
2021-03-20,true,false,,true,false,5,23,11,3,1,2021
2021-03-21,false,false,,true,false,4,24,11,3,1,2021
2021-03-22,false,false,,true,false,3,25,12,3,1,2021
2021-03-23,false,false,,true,false,2,26,12,3,1,2021
2021-03-24,false,false,,true,false,1,27,12,3,1,2021
2021-03-25,false,false,,true,false,0,0,12,3,1,2021
2021-03-26,true,false,,true,false,30,1,12,3,1,2021
2021-03-27,true,false,,true,false,29,2,12,3,1,2021
2021-03-28,false,false,,false,false,28,3,12,3,1,2021
2021-03-29,false,false,,false,false,27,4,13,3,1,2021
2021-03-30,false,false,,false,false,26,5,13,3,1,2021
2021-03-31,false,false,,false,false,25,6,13,3,1,2021
2021-04-01,false,false,,false,false,24,7,13,4,2,2021
2021-04-02,true,false,,false,false,23,8,13,4,2,2021
2021-04-03,true,false,,false,false,22,9,13,4,2,2021
2021-04-04,false,false,,false,false,21,10,13,4,2,2021
2021-04-05,false,false,,false,false,20,11,14,4,2,2021
2021-04-06,false,false,,false,false,19,12,14,4,2,2021
2021-04-07,false,false,,false,false,18,13,14,4,2,2021
2021-04-08,false,false,,false,false,17,14,14,4,2,2021
2021-04-09,true,false,,false,false,16,15,14,4,2,2021
2021-04-10,true,false,,false,false,15,16,14,4,2,2021
2021-04-11,false,false,,false,false,14,17,14,4,2,2021
2021-04-12,false,false,,false,false,13,18,15,4,2,2021
2021-04-13,false,false,,false,true,12,19,15,4,2,2021
2021-04-14,false,false,,false,true,11,20,15,4,2,2021
2021-04-15,false,false,,false,true,10,21,15,4,2,2021
2021-04-16,true,false,,false,true,9,22,15,4,2,2021
2021-04-17,true,false,,false,true,8,23,15,4,2,2021
2021-04-18,false,false,,false,true,7,24,15,4,2,2021
